id,key,status,dirty_address,clean_address,city,state,zip_code,tax_map_val,latitude,longitude,created_at,updated_at
1,"1603CEDARHILLRD061","VALID","1603 CEDAR HILL RD","1603 CEDAR HILL RD, Charlottesville, VA ",,,,"061",38.0591740,-78.4987710,"2009-08-26 03:25:06","2009-08-26 03:26:58"
2,"1265CROZETAVE056","VALID","1265 CROZET AVE","1265 CROZET AVE, Crozet, VA ",,,,"056",38.0704690,-78.6997530,"2009-08-26 03:25:06","2009-08-26 03:26:49"
3,"FLUVANNA7","APPROXIMATE","FLUVANNA 7","FLUVANNA 7, Charlottesville, VA ",,,,"000",37.8927720,-78.3413100,"2009-08-26 03:25:06","2009-08-26 03:26:44"
4,"1242CEDARSCT060","APPROXIMATE","1242 CEDARS CT","1242 CEDARS CT, Charlottesville, VA ",,,,"060",38.0626069,-78.5205552,"2009-08-26 03:25:06","2009-08-26 03:26:37"
5,"803HENRYAVE077","VALID","803 HENRY AVE","803 HENRY AVE, Charlottesville, VA ",,,,"077",38.0390990,-78.4851820,"2009-08-26 03:25:07","2009-08-26 03:26:42"
6,"1935ARLINGTONBLVD060","VALID","1935 ARLINGTON BLVD","1935 ARLINGTON BLVD, Charlottesville, VA ",,,,"060",38.0482526,-78.5044842,"2009-08-26 03:25:07","2009-08-26 03:26:40"
7,"200EMMETSTS061","APPROXIMATE","200 EMMET ST S","200 EMMET ST S, Charlottesville, VA ",,,,"061",38.0626068,-78.4788775,"2009-08-26 03:25:07","2009-08-26 03:26:46"
8,"2111MICHIEDR061","VALID","2111 MICHIE DR","2111 MICHIE DR, Charlottesville, VA ",,,,"061",38.0609580,-78.4864710,"2009-08-26 03:25:07","2009-08-26 03:26:56"
9,"2025MICHIEDR061","VALID","2025 MICHIE DR","2025 MICHIE DR, Charlottesville, VA ",,,,"061",38.0595760,-78.4879310,"2009-08-26 03:25:07","2009-08-26 03:26:54"
10,"5THSTSWWMAINST077","APPROXIMATE","5TH ST SW&W MAIN ST","5TH ST SW & W MAIN ST, Charlottesville, VA ",,,,"077",38.0210052,-78.4788893,"2009-08-26 03:25:07","2009-08-26 03:26:51"
11,"1242GAZEBOCT061","VALID","1242 GAZEBO CT","1242 GAZEBO CT, Charlottesville, VA ",,,,"061",38.0699700,-78.4790060,"2009-08-26 03:25:07","2009-08-26 03:27:21"
12,"322WESTMINSTERRD060","VALID","322 WESTMINSTER RD","322 WESTMINSTER RD, Charlottesville, VA ",,,,"060",38.0558860,-78.5141200,"2009-08-26 03:25:07","2009-08-26 03:27:00"
13,"56MISTYMOUNTAINRD071","VALID","56 MISTY MOUNTAIN RD","56 MISTY MOUNTAIN RD, Midway, VA ",,,,"071",38.0384334,-78.7392763,"2009-08-26 03:25:07","2009-08-26 03:27:02"
14,"975HILTONHEIGHTSRD045","VALID","975 HILTON HEIGHTS RD","975 HILTON HEIGHTS RD, Charlottesville, VA ",,,,"045",38.0974390,-78.4671040,"2009-08-26 03:25:07","2009-08-26 03:27:09"
15,"2206NBERKSHIRERD061","VALID","2206 N BERKSHIRE RD","2206 N BERKSHIRE RD, Charlottesville, VA ",,,,"061",38.0610450,-78.4951750,"2009-08-26 03:25:07","2009-08-26 03:27:16"
16,"1150NORTHWESTDR061","VALID","1150 NORTHWEST DR","1150 NORTHWEST DR, Charlottesville, VA ",,,,"061",38.0693749,-78.4940739,"2009-08-26 03:25:08","2009-08-26 03:27:05"
17,"250PANTOPSMOUNTAINRD078","VALID","250 PANTOPS MOUNTAIN RD","250 PANTOPS MOUNTAIN RD, Charlottesville, VA ",,,,"078",38.0306783,-78.4379902,"2009-08-26 03:25:08","2009-08-26 03:27:35"
18,"2125THSTSW077","VALID","212 5TH ST SW","212 5TH ST SW, Charlottesville, VA ",,,,"077",38.0294540,-78.4880120,"2009-08-26 03:25:08","2009-08-26 03:27:07"
19,"420OAKST077","VALID","420 OAK ST","420 OAK ST, Charlottesville, VA ",,,,"077",38.0279370,-78.4893310,"2009-08-26 03:25:08","2009-08-26 03:27:11"
20,"MONTICELLORDCARLTONAVE077","APPROXIMATE","MONTICELLO RD&CARLTON AVE","MONTICELLO RD & CARLTON AVE, Charlottesville, VA ",,,,"077",38.0210052,-78.4788893,"2009-08-26 03:25:08","2009-08-26 03:27:38"
21,"1611RIOHILLDR061","VALID","1611 RIO HILL DR","1611 RIO HILL DR, Charlottesville, VA ",,,,"061",38.0805033,-78.4694643,"2009-08-26 03:25:08","2009-08-26 03:27:14"
22,"15THSTNWVIRGINIAAVE077","APPROXIMATE","15TH ST NW&VIRGINIA AVE","15TH ST NW & VIRGINIA AVE, Charlottesville, VA ",,,,"077",38.0210052,-78.4788893,"2009-08-26 03:25:08","2009-08-26 03:27:19"
23,"1505UNIVERSITYAV076","VALID","1505 UNIVERSITY AV","1505 UNIVERSITY AV, Charlottesville, VA ",,,,"076",38.0367284,-78.5033709,"2009-08-26 03:25:08","2009-08-26 03:27:23"
24,"95BICEDRUVA076","APPROXIMATE","95 BICE DR - UVA","95 BICE DR - UVA, Charlottesville, VA ",,,,"076",38.0210053,-78.5205438,"2009-08-26 03:25:08","2009-08-26 03:27:26"
25,"1000RIORDE061","VALID","1000 RIO RD E","1000 RIO RD E, Charlottesville, VA ",,,,"061",38.0636941,-78.4631596,"2009-08-26 03:25:08","2009-08-26 03:27:28"
26,"420MCCORMICKRDUVA076","APPROXIMATE","420 MCCORMICK RD - UVA","420 MCCORMICK RD - UVA, Charlottesville, VA ",,,,"076",38.0210053,-78.5205438,"2009-08-26 03:25:08","2009-08-26 03:27:49"
27,"2522THOMASJEFFERSONPKWY093","VALID","2522 THOMAS JEFFERSON PKWY","2522 THOMAS JEFFERSON PKWY, Ashmere, VA ",,,,"093",37.9713032,-78.3988536,"2009-08-26 03:25:08","2009-08-26 03:27:30"
28,"2600BARRACKSRD060","VALID","2600 BARRACKS RD","2600 BARRACKS RD, Charlottesville, VA ",,,,"060",38.0626514,-78.5132235,"2009-08-26 03:25:09","2009-08-26 03:27:47"
29,"2194OLDLYNCHBURGRD101","APPROXIMATE","2194 OLD LYNCHBURG RD","2194 OLD LYNCHBURG RD, Redland, VA ",,,,"101",37.9377858,-78.5621290,"2009-08-26 03:25:09","2009-08-26 03:27:32"
30,"111TURTLECREEKRD061","VALID","111 TURTLE CREEK RD","111 TURTLE CREEK RD, Charlottesville, VA ",,,,"061",38.0705150,-78.4966910,"2009-08-26 03:25:09","2009-08-26 03:27:42"
31,"1611MADISONAVE077","APPROXIMATE","1611 MADISON AVE","1611 MADISON AVE, Charlottesville, VA ",,,,"077",38.0210052,-78.4788893,"2009-08-26 03:25:09","2009-08-26 03:28:04"
