tax_map_number, city, zip_code, state_abbr, nw_lat, nw_lon, ne_lat, ne_lon, se_lat, se_lon, sw_lat, sw_lon, center_lat, center_lon, min_lat, max_lat, min_lon, max_lon
000, Charlottesville, , VA, , , , , , , , , , , , , ,
001, Simmons Gap, , VA, 38.291224924886087, -78.708738498490646, 38.291290482573437, -78.666932833291767, 38.24969287904409, -78.666839555414327, 38.24962735677169, -78.708621860793684, 38.2704589019651, -78.6877890269525, 38.24962735677169, 38.291290482573437, -78.708621860793684, -78.666932833291767
002, Sullivan, , VA, 38.291290482573437, -78.666932833291767, 38.291341449407568, -78.625127102619061, 38.249743818345387, -78.625057184670851, 38.24969287904409, -78.666839555414327, 38.2705171504594, -78.6459950089813, 38.24969287904409, 38.291341449407568, -78.666839555414327, -78.625127102619061
003, Sullivan, , VA, 38.291341449407568, -78.625127102619061, 38.291377825359525, -78.583321322869338, 38.249780174646638, -78.583274764932554, 38.249743818345387, -78.625057184670851, 38.2705608120271, -78.6042009337758, 38.249743818345387, 38.291377825359525, -78.625057184670851, -78.583321322869338
004, Mountfair, , VA, 38.249547251565474, -78.750404084439737, 38.24962735677169, -78.708621860793684, 38.208029027046095, -78.708505353371976, 38.20794896513128, -78.750264243426287, 38.2287881393058, -78.7294547189059, 38.20794896513128, 38.24962735677169, -78.750264243426287, -78.708621860793684
005, Mountfair, , VA, 38.24962735677169, -78.708621860793684, 38.24969287904409, -78.666839555414327, 38.208094513908158, -78.666746381721239, 38.208029027046095, -78.708505353371976, 38.2288609353399, -78.6876841212575, 38.208029027046095, 38.24969287904409, -78.708505353371976, -78.666839555414327
006, Boonesville, , VA, 38.24969287904409, -78.666839555414327, 38.249743818345387, -78.625057184670851, 38.208145425680222, -78.624987344815807, 38.208094513908158, -78.666746381721239, 38.2289191523622, -78.6459134501151, 38.208094513908158, 38.249743818345387, -78.666746381721239, -78.625057184670851
007, Boonesville, , VA, 38.249743818345387, -78.625057184670851, 38.249780174646638, -78.583274764932554, 38.208181762333382, -78.583228258997607, 38.208145425680222, -78.624987344815807, 38.2289627903394, -78.6041427218342, 38.208145425680222, 38.249780174646638, -78.624987344815807, -78.583274764932554
008, Nortonsville, , VA, 38.249780174646638, -78.583274764932554, 38.249801947927203, -78.541492312568892, 38.208203523846969, -78.541469140608655, 38.208181762333382, -78.583228258997607, 38.2289918492468, -78.5623719527706, 38.208181762333382, 38.249801947927203, -78.583228258997607, -78.541492312568892
009, Wilhait, , VA, 38.249801947927203, -78.541492312568892, 38.249809138174712, -78.499709843949347, 38.208210710208618, -78.499710005991048, 38.208203523846969, -78.541469140608655, 38.2290063290679, -78.52060115928, 38.208203523846969, 38.249809138174712, -78.541469140608655, -78.499710005991048
010, Barnes, , VA, 38.249809138174712, -78.499709843949347, 38.249801745385035, -78.457927375443489, 38.20820332141426, -78.457950871486943, 38.208210710208618, -78.499710005991048, 38.2290062297945, -78.4788303577182, 38.20820332141426, 38.249809138174712, -78.499709843949347, -78.457950871486943
011, Barnes, , VA, 38.249801745385035, -78.457927375443489, 38.249779769562402, -78.416144923420845, 38.208181357468071, -78.41619175343844, 38.20820332141426, -78.457950871486943, 38.2289915514266, -78.437059564441, 38.208181357468071, 38.249801745385035, -78.457927375443489, -78.41619175343844
012, Harriston, , VA, 38.207854328209194, -78.792023035542599, 38.20794896513128, -78.750264243426287, 38.166349939256705, -78.75012455851693, 38.166255353500361, -78.791860043252314, 38.1871021337329, -78.7710737970298, 38.166255353500361, 38.20794896513128, -78.791860043252314, -78.750264243426287
013, Mountfair, , VA, 38.20794896513128, -78.750264243426287, 38.208029027046095, -78.708505353371976, 38.166429957885804, -78.708388976007427, 38.166349939256705, -78.75012455851693, 38.1871894615085, -78.7293266097168, 38.166349939256705, 38.208029027046095, -78.75012455851693, -78.708505353371976
014, Mountfair, , VA, 38.166429957885804, -78.708388976007427, 38.208029027046095, -78.708505353371976, 38.208094513908158, -78.666746381721239, 38.16649540934219, -78.666653312038051, 38.187262235897, -78.6875676788643, 38.16649540934219, 38.208029027046095, -78.666653312038051, -78.708505353371976
015, Mountfair, , VA, 38.208094513908158, -78.666746381721239, 38.208145425680222, -78.624987344815807, 38.166546293588638, -78.624917582923189, 38.16649540934219, -78.666653312038051, 38.1873204037484, -78.6458319823222, 38.16649540934219, 38.208145425680222, -78.666653312038051, -78.624987344815807
016, Patterson Store, , VA, 38.208145425680222, -78.624987344815807, 38.208181762333382, -78.583228258997607, 38.166582610596265, -78.583181804977414, 38.166546293588638, -78.624917582923189, 38.1873640181382, -78.6040845748966, 38.166546293588638, 38.208181762333382, -78.624917582923189, -78.583228258997607
017, Patterson Store, , VA, 38.208181762333382, -78.583228258997607, 38.208203523846969, -78.541469140608655, 38.166604360344422, -78.541445994515385, 38.166582610596265, -78.583181804977414, 38.1873930613389, -78.5623371267565, 38.166582610596265, 38.208203523846969, -78.583181804977414, -78.541469140608655
018, Windrift, , VA, 38.208203523846969, -78.541469140608655, 38.208210710208618, -78.499710005991048, 38.166611542820732, -78.499710167851873, 38.166604360344422, -78.541445994515385, 38.1874075333339, -78.5205896542303, 38.166604360344422, 38.208210710208618, -78.541445994515385, -78.499710167851873
019, Frays Mountain Estates, , VA, 38.208210710208618, -78.499710005991048, 38.20820332141426, -78.457950871486943, 38.166604158021151, -78.457974341301664, 38.166611542820732, -78.499710167851873, 38.1874074341149, -78.4788421736464, 38.166604158021151, 38.208210710208618, -78.499710005991048, -78.457974341301664
020, Advance Mills, , VA, 38.20820332141426, -78.457950871486943, 38.208181357468071, -78.41619175343844, 38.166582205949837, -78.41623853117953, 38.166604158021151, -78.457974341301664, 38.187392763682, -78.4370947013332, 38.166582205949837, 38.20820332141426, -78.457950871486943, -78.41623853117953
021, Advance Mills Village, , VA, 38.208181357468071, -78.41619175343844, 38.20814481838255, -78.37443266818768, 38.166545686619294, -78.374502753800243, 38.166582205949837, -78.41623853117953, 38.1873635220437, -78.3953472536193, 38.166545686619294, 38.208181357468071, -78.41619175343844, -78.374502753800243
022, Solaris, , VA, 38.20814481838255, -78.37443266818768, 38.208093704178452, -78.332673632076663, 38.166494600050271, -78.332767025478461, 38.166545686619294, -78.374502753800243, 38.1873197092164, -78.3535998468331, 38.166494600050271, 38.20814481838255, -78.37443266818768, -78.332767025478461
023, Eheart, , VA, 38.208093704178452, -78.332673632076663, 38.208028014884839, -78.290914661447289, 38.166428946271779, -78.291031362528742, 38.166494600050271, -78.332767025478461, 38.1872613252251, -78.3118524973027, 38.166428946271779, 38.208093704178452, -78.332673632076663, -78.291031362528742
024, Blueridge Forest, , VA, 38.166604360344422, -78.541445994515385, 38.166611542820732, -78.499710167851873, 38.125011658177741, -78.499710329532107, 38.125004479586245, -78.541422874245782, 38.1458080092611, -78.5205781620238, 38.125004479586245, 38.166611542820732, -78.541422874245782, -78.499710329532107
025, Loftlands Wood, , VA, 38.166611542820732, -78.499710167851873, 38.166604158021151, -78.457974341301664, 38.125004277372412, -78.45799778493155, 38.125011658177741, -78.499710329532107, 38.1458079100966, -78.4788539763917, 38.125004277372412, 38.166611542820732, -78.499710167851873, -78.45799778493155
026, Charlottesville, , VA, 38.166604158021151, -78.457974341301664, 38.166582205949837, -78.41623853117953, 38.124982337174423, -78.416285256731584, 38.125004277372412, -78.45799778493155, 38.1457932475978, -78.4371297990166, 38.124982337174423, 38.166604158021151, -78.457974341301664, -78.416285256731584
